,year,canola_PI,corn_PI,canola_Q,corn_Q
0,1981,60.23333333333334,70.69166666666666,1848500,6682600
1,1982,59.333333333333336,58.99166666666667,2218100,6522300
2,1983,66.02499999999999,75.02499999999999,2593300,5930800
3,1984,83.00833333333333,84.175,3411900,6777500
4,1985,68.425,74.58333333333333,3497900,6969900
5,1986,49.28333333333333,62.12500000000001,3713700,5911700
6,1987,45.175000000000004,59.51666666666666,3719500,7064700
7,1988,64.46666666666667,67.56666666666666,4218300,5449500
8,1989,58.666666666666664,70.43333333333332,3209200,6570900
9,1990,56.89166666666668,66.325,3265900,7066600
10,1991,51.59166666666666,60.074999999999996,4224200,7412500
11,1992,54.875,62.69166666666666,3872400,4882600
12,1993,62.43333333333334,64.64166666666667,5524900,6755200
13,1994,77.325,73.95833333333333,7232500,7189900
14,1995,76.19166666666668,79.11666666666666,6434200,7280900
15,1996,81.10000000000001,114.64166666666665,5062300,7541700
16,1997,77.84166666666665,82.175,6393100,7179800
17,1998,77.11666666666666,70.95,7643300,8952400
18,1999,59.63333333333333,62.61666666666667,8798300,9161300
19,2000,50.275,62.46666666666667,7205300,6953700
20,2001,59.05000000000001,69.19999999999999,5017100,8389200
21,2002,71.25000000000001,75.68333333333332,4520500,8998800
22,2003,69.73333333333333,73.96666666666667,6771200,9587300
23,2004,68.275,70.27499999999999,7673600,8836800
24,2005,54.65,54.14166666666667,9483300,9332200
25,2006,57.48333333333333,59.275,9000300,8989800
26,2007,79.35833333333333,76.28333333333332,9611100,11648700
27,2008,105.51666666666667,94.34166666666664,12644900,10642800
28,2009,85.88333333333333,86.29166666666667,12898100,9796200
29,2010,86.84166666666665,81.69166666666666,12788600,12043300
30,2011,109.90000000000002,117.4833333333333,14608100,11358700
31,2012,120.33333333333333,113.75833333333333,13868500,13060100
32,2013,113.22500000000001,105.43333333333332,18551000,14190700
33,2014,93.09166666666665,87.36666666666666,16410100,11606400
34,2015,100.06666666666666,88.64166666666667,18376500,13679500
35,2016,101.40833333333332,88.60833333333335,19599200,13889000
36,2017,107.27499999999999,87.93333333333334,21458100,14095500
37,2018,107.45,92.5,20723500,13884800
38,2019,97.11666666666667,101.29166666666667,19912300,13403900
39,2020,105.53333333333335,99.38333333333333,19484700,13563300
40,2021,184.91666666666666,144.26666666666668,14248281,14610792
41,2022,206.82499999999996,162.6,18849801,14538878
42,2023,161.59166666666667,137.88333333333333,19191655,15420909
43,2024,130.96666666666664,104.71111111111111,18980484,15167588
